DeviceTag: Movella DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Quaternion),StartTime: 2025-12-06 12:36:15.715,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
163138,0.2742,0.4726,-36.0399,-0.0099,0.0055,0.2353,0
163305,0.2741,0.4717,-36.0415,-0.0064,-0.0008,0.2104,0
163471,0.2749,0.4723,-36.0417,-0.0054,0.0081,0.2448,0
163638,0.2753,0.4721,-36.0423,0.0001,0.0067,0.2482,0
163805,0.2748,0.4721,-36.0438,0.0020,0.0105,0.2516,0
163971,0.2742,0.4740,-36.0438,-0.0132,0.0139,0.2059,0
164138,0.2742,0.4743,-36.0441,-0.0070,0.0104,0.2509,0
164305,0.2751,0.4742,-36.0459,0.0059,0.0049,0.2333,0
164472,0.2750,0.4730,-36.0449,0.0019,0.0023,0.2423,0
164638,0.2750,0.4728,-36.0458,-0.0084,-0.0071,0.2456,0
164805,0.2753,0.4735,-36.0464,0.0082,0.0006,0.2270,0
164972,0.2746,0.4735,-36.0465,-0.0085,0.0048,0.2293,0
165138,0.2744,0.4739,-36.0470,0.0094,0.0160,0.2370,0
165305,0.2740,0.4748,-36.0479,-0.0073,0.0255,0.2256,0
165472,0.2747,0.4750,-36.0491,-0.0030,0.0051,0.2211,0
165638,0.2744,0.4735,-36.0507,0.0032,0.0046,0.2102,0
165805,0.2755,0.4720,-36.0506,0.0034,0.0055,0.2250,0
165972,0.2755,0.4711,-36.0510,-0.0048,0.0005,0.2331,0
166138,0.2756,0.4708,-36.0512,-0.0083,-0.0012,0.2320,0
166305,0.2756,0.4709,-36.0524,-0.0003,0.0081,0.2589,0
166472,0.2762,0.4701,-36.0543,-0.0078,0.0061,0.2427,0
166638,0.2750,0.4693,-36.0552,-0.0041,0.0062,0.2214,0
166805,0.2751,0.4688,-36.0551,0.0184,0.0029,0.2348,0
166972,0.2747,0.4683,-36.0550,0.0032,-0.0012,0.2209,0
167138,0.2737,0.4677,-36.0566,-0.0071,-0.0056,0.2113,0
167305,0.2736,0.4685,-36.0558,-0.0157,-0.0037,0.2558,0
167472,0.2747,0.4694,-36.0556,-0.0162,0.0019,0.2300,0
167638,0.2741,0.4701,-36.0559,-0.0076,0.0008,0.2280,0
167805,0.2737,0.4691,-36.0568,-0.0032,0.0152,0.2516,0
167972,0.2734,0.4685,-36.0571,-0.0199,0.0039,0.2493,0
168138,0.2729,0.4678,-36.0578,-0.0278,-0.0029,0.2263,0
168305,0.2824,0.4977,-36.0529,-0.0048,-0.0132,0.2335,0
168472,0.2819,0.4964,-36.0528,-0.0104,-0.0037,0.2194,0
168638,0.2818,0.4974,-36.0523,-0.0018,-0.0088,0.2675,0
168805,0.2817,0.4961,-36.0519,0.0113,-0.0039,0.2291,0
168972,0.2814,0.4974,-36.0530,-0.0083,-0.0072,0.2253,0
169138,0.2811,0.4973,-36.0528,-0.0037,-0.0148,0.2683,0
169305,0.2803,0.4980,-36.0537,0.0189,-0.0121,0.2431,0
169472,0.2807,0.4987,-36.0547,-0.0036,0.0099,0.2388,0
169638,0.2802,0.4993,-36.0558,-0.0050,-0.0077,0.2482,0
169805,0.2806,0.5001,-36.0557,0.0014,0.0012,0.2349,0
169972,0.2808,0.5004,-36.0566,-0.0102,0.0006,0.2473,0
170138,0.2797,0.5007,-36.0568,-0.0125,-0.0002,0.2205,0
170305,0.2792,0.5010,-36.0567,-0.0091,-0.0050,0.2326,0
170472,0.2802,0.5008,-36.0555,0.0077,0.0107,0.2350,0
170638,0.2809,0.5014,-36.0568,-0.0074,-0.0026,0.2292,0
170805,0.2809,0.5020,-36.0563,-0.0033,-0.0111,0.2418,0
170972,0.2804,0.5020,-36.0571,-0.0006,-0.0058,0.2561,0
171138,0.2803,0.5024,-36.0573,-0.0179,-0.0015,0.2198,0
