DeviceTag: Movella DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Complete (Quaternion),StartTime: 2025-12-02 14:33:20.555,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
204319,0.9688,0.0016,-0.0008,0.2477,0.0005,-0.0163,0.2468
204486,0.9688,0.0016,-0.0008,0.2477,-0.0065,0.0028,0.2652
204652,0.9688,0.0016,-0.0008,0.2477,-0.0092,-0.0004,0.2351
204819,0.9688,0.0016,-0.0008,0.2477,-0.0069,-0.0046,0.2593
204986,0.9688,0.0016,-0.0008,0.2477,0.0073,0.0073,0.2378
205152,0.9688,0.0016,-0.0008,0.2477,0.0142,0.0033,0.2658
205319,0.9688,0.0016,-0.0008,0.2477,-0.0013,0.0017,0.2260
205486,0.9688,0.0016,-0.0008,0.2477,0.0005,0.0024,0.2213
205652,0.9688,0.0016,-0.0008,0.2478,-0.0094,-0.0059,0.2285
205819,0.9688,0.0016,-0.0008,0.2477,-0.0027,-0.0037,0.2415
205986,0.9688,0.0016,-0.0008,0.2478,0.0032,0.0025,0.2814
206152,0.9688,0.0016,-0.0008,0.2478,0.0013,0.0005,0.2448
206319,0.9688,0.0016,-0.0008,0.2477,0.0069,-0.0075,0.2412
206486,0.9688,0.0016,-0.0008,0.2477,0.0063,0.0092,0.2274
206652,0.9688,0.0016,-0.0008,0.2477,0.0104,-0.0083,0.2369
206819,0.9688,0.0016,-0.0009,0.2478,0.0040,-0.0008,0.2466
206986,0.9688,0.0016,-0.0009,0.2478,-0.0075,-0.0099,0.2406
207152,0.9688,0.0016,-0.0008,0.2478,-0.0063,-0.0060,0.2606
207319,0.9688,0.0016,-0.0008,0.2478,-0.0017,-0.0105,0.2534
207486,0.9688,0.0016,-0.0008,0.2478,-0.0090,0.0000,0.2484
207652,0.9688,0.0016,-0.0008,0.2478,0.0005,-0.0156,0.2541
207819,0.9688,0.0016,-0.0008,0.2478,-0.0027,0.0007,0.2539
207986,0.9688,0.0015,-0.0008,0.2478,0.0065,-0.0065,0.2227
208152,0.9688,0.0015,-0.0008,0.2478,0.0057,0.0007,0.2327
208319,0.9688,0.0015,-0.0009,0.2477,0.0129,-0.0037,0.2483
208486,0.9688,0.0015,-0.0009,0.2478,0.0022,-0.0051,0.2493
208652,1.0000,0.0013,-0.0012,0.0000,-0.0053,0.0118,0.2654
208819,1.0000,0.0013,-0.0012,0.0000,0.0039,-0.0033,0.2355
208986,1.0000,0.0013,-0.0012,-0.0000,0.0010,-0.0184,0.2598
209152,1.0000,0.0013,-0.0012,0.0000,0.0087,-0.0140,0.2647
209319,1.0000,0.0013,-0.0012,-0.0000,-0.0095,-0.0010,0.2375
209486,1.0000,0.0013,-0.0012,0.0000,0.0058,-0.0090,0.2591
209652,1.0000,0.0013,-0.0012,-0.0000,0.0051,-0.0271,0.2454
209819,1.0000,0.0013,-0.0012,-0.0000,0.0064,0.0033,0.2630
209986,1.0000,0.0013,-0.0012,-0.0000,-0.0069,-0.0122,0.2385
210152,1.0000,0.0013,-0.0012,-0.0000,-0.0066,-0.0074,0.2453
210319,1.0000,0.0013,-0.0012,-0.0000,-0.0088,-0.0106,0.2512
210486,1.0000,0.0013,-0.0012,-0.0000,0.0050,-0.0065,0.2375
210652,1.0000,0.0013,-0.0012,-0.0000,0.0150,0.0022,0.2338
210819,1.0000,0.0013,-0.0012,-0.0000,0.0042,-0.0008,0.2492
