DeviceTag: Movella DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Inertial Mode - Rate quantities (with mag),StartTime: 2025-12-02 14:37:28.533,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
2672938,0.0085,0.0218,10.0477,-1.9218,0.9463,-0.6155,0.5898,0.8928,0.5466
2673105,0.0267,0.0163,10.0619,-1.9533,0.9150,-0.5522,0.5898,0.8928,0.5510
2673271,0.0290,0.0046,10.0534,-1.8895,0.8545,-0.5948,0.5889,0.8889,0.5535
2673438,0.0208,0.0153,10.0435,-1.9026,0.9213,-0.5386,0.5864,0.8870,0.5505
2673605,0.0220,0.0197,10.0275,-1.8761,0.9155,-0.6351,0.5889,0.8938,0.5505
2673771,0.0190,0.0189,10.0616,-1.9703,0.9162,-0.5639,0.5908,0.8904,0.5491
2673938,0.0326,0.0210,10.0548,-1.9370,0.8755,-0.5584,0.5879,0.8909,0.5496
2674105,0.0323,0.0074,10.0427,-1.9446,0.9659,-0.5823,0.5913,0.8914,0.5515
2674271,0.0250,0.0124,10.0613,-1.9413,0.9590,-0.5941,0.5933,0.8938,0.5505
2674438,0.0188,0.0349,10.0625,-1.9523,0.9141,-0.6168,0.5938,0.8889,0.5457
2674605,0.0246,0.0193,10.0316,-1.8800,0.8513,-0.5428,0.5908,0.8928,0.5500
2674771,0.0300,0.0194,10.0443,-1.9771,0.9210,-0.6309,0.5913,0.8879,0.5486
2674938,0.0277,0.0233,10.0565,-1.9878,0.8335,-0.6087,0.5894,0.8904,0.5471
2675105,0.0127,0.0064,10.0566,-1.9682,0.9520,-0.6303,0.5903,0.8923,0.5500
2675271,0.0233,0.0189,10.0541,-1.8827,0.8844,-0.6318,0.5903,0.8938,0.5491
2675438,0.0099,0.0249,10.0476,-1.8864,0.8649,-0.6685,0.5889,0.8923,0.5515
2675605,0.0293,0.0225,10.0476,-1.9285,0.9022,-0.5628,0.5923,0.8899,0.5486
2675771,0.0289,0.0253,10.0505,-1.8653,0.8873,-0.5861,0.5938,0.8879,0.5481
2675938,0.0129,0.0079,10.0544,-1.9369,0.9337,-0.6309,0.5898,0.8928,0.5481
2676105,0.0081,0.0187,10.0659,-1.9718,0.8966,-0.6125,0.5874,0.8909,0.5535
2676271,0.0169,0.0257,10.0521,-1.8864,0.8344,-0.5756,0.5889,0.8938,0.5505
2676438,0.0381,0.0378,10.0365,-1.9298,0.8648,-0.5381,0.5918,0.8899,0.5496
2676605,0.0268,0.0120,10.0479,-1.9441,0.8590,-0.6441,0.5918,0.8918,0.5496
2676771,0.0273,0.0108,10.0577,-1.9465,0.9999,-0.6132,0.5884,0.8889,0.5496
2676938,0.0135,0.0261,10.0464,-1.9178,0.8984,-0.6137,0.5928,0.8879,0.5457
2677105,0.0180,0.0209,10.0651,-1.8848,0.8870,-0.5994,0.5874,0.8918,0.5476
2677271,0.0283,0.0169,10.0681,-1.8063,0.9245,-0.5613,0.5933,0.8914,0.5515
2677438,0.0112,0.0170,10.0593,-1.9831,0.9146,-0.6729,0.5898,0.8879,0.5486
2677605,0.0122,0.0113,10.0489,-1.8689,0.9330,-0.6348,0.5903,0.8918,0.5486
