DeviceTag: Movella DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-11-10 09:21:00.404,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
4274754,0.9746,-0.0065,0.0043,-0.2240,0.0074,0.0084,0.0140,0
4274920,0.9746,-0.0065,0.0043,-0.2240,0.0053,0.0098,-0.0049,0
4275087,0.9746,-0.0065,0.0043,-0.2240,0.0052,0.0093,0.0093,0
4275254,0.9746,-0.0065,0.0043,-0.2240,0.0037,-0.0032,-0.0005,0
4275420,0.9745,-0.0065,0.0043,-0.2240,0.0029,0.0043,-0.0006,0
4275587,0.9746,-0.0065,0.0043,-0.2240,0.0041,0.0077,0.0193,0
4275754,0.9745,-0.0065,0.0043,-0.2240,-0.0090,0.0042,-0.0038,0
4275920,0.9745,-0.0065,0.0043,-0.2240,-0.0038,-0.0022,0.0108,0
4276087,0.9745,-0.0065,0.0043,-0.2241,-0.0041,-0.0058,-0.0033,0
4276254,0.9745,-0.0065,0.0043,-0.2241,0.0053,0.0108,-0.0063,0
4276420,0.9745,-0.0066,0.0043,-0.2241,0.0005,-0.0013,0.0174,0
4276587,0.9745,-0.0066,0.0043,-0.2241,-0.0040,0.0005,-0.0017,0
